review,sentiment
ok dapat free invisible stick,1
Nice,1
"barang telah diterima dengan baik
terima kasih",1
"Barang Sudah sampai,, semoga semua Fitu berfungsi dgn baik..",1
"Lengkap sesuai list, trusted",1
"respon cepat, packing aman rapi. barang original",1
Joss,1
"Fast response, good packaging. Thank you!",1
barang cepat sampai,1
"Packing aman dan barang sesuai.
Kecewa dengan kurir karena durasi paket diterima 5 hari padahal pilihan layanan pengiriman next day.",1
OK,1
gpp,1
sip,1
barang oke dan pengiriman cepat,0
"Pelayanannya ramah, packingnya aman dan rapi, barang diterima dgn baik, cuma barangnya belum dicoba pakai....",1
👍👍👍👍👍,1
"paket sampai dengan cepat dan baik, terimakasih ,",1
"Fast respond, good packaging, quality",1
"so far so good mantul lah
tinggal tambah tools",1
packingnya rapi.. seller fast response,1
"barang aman sampai dirumah meskipun packingnya tidak pakai plastick bubble wrap plastick, untuk fungsi normal dan bisa digunakan. Terimakasih",1
"tiba lengkap, tepat waktu.. kamera hidup.. semoga normal dan aman",0
"awal nya kurang barangnya yg dikirim, tapi sama seller besok dikirm langsung,dan di beri arahan jg buat pemakaian nya, recomended seller,",1
"Hamdallah sudah sampai dari kemarin2 sebenernya cuma saya baru pulang dan baru dicek. Semua berfungsi dengan baik dan amanah, pokoknya best. tetep keep it up ya. 🔥",1
packing sangat bagus semua sesuai asli 100%,1
Sssuai dekripsi,1
Mantap sesuai pesanan; terima kasih 👍🏻.,1
Baaaguussss,1
packing aman dan barang original. terima kasih,1
"jos, puas, beli di galaxy camera, ga pernah mengecewakan pokoknya beli kamera, acc kamera atau action kamera",0
"Apes saja dapat kamera yg eror, dan ternyata harus di klaim sendiri di denkanya. Dan haru menunggu pergantian unit yang lumayan lama 🥲",0
Kilaattttttttttt dan komunikasi lancar matap,1
"cepat n paten, cuma box paket kurang aman aja",1
keren,1
paten,1
"packing bagus, barang sesuai pesanan 
fast respon
pengiriman cepat",0
barang sesuai deskripsi,0
"nggak banyak bicara, responsìf, memuaskan",0
"product OK, packaging aman banget 🫶",1
"Terbaik, Recommed Seller Pengiriman Cepat, pelayanan Terbaik",1
"pengiriman cepat, respond seller  juga cepat
terima kasih",0
"Very recommended, trusted seller, thank you",1
